CompanySymbol,maxprice,minprice,closingprice,nooftransaction,totalamount,difference,percentdifference,asofdate
NIFRA,535,526,526,3678,"8,638,425,161.00",-4.00,-0.75,2021-05-31
NIFRA,545,528,530,4600,"8,638,425,161.00",0.00,0.00,2021-05-30
NIFRA,536,529,530,3512,"8,638,425,161.00",-4.00,-0.75,2021-05-27
NIFRA,555,532,534,2708,"8,638,425,161.00",-2.00,-0.37,2021-05-25
NIFRA,545,535,536,3330,"8,638,425,161.00",-2.00,-0.37,2021-05-24
NIFRA,543,529,538,3303,"8,638,425,161.00",1.00,0.19,2021-05-23
NIFRA,560,530,537,2993,"8,638,425,161.00",-1.00,-0.19,2021-05-20
NIFRA,552,537,538,3044,"8,638,425,161.00",-6.00,-1.10,2021-05-19
NIFRA,553,542,544,2931,"8,638,425,161.00",-2.00,-0.37,2021-05-18
NIFRA,560,545,546,3159,"8,638,425,161.00",-1.00,-0.18,2021-05-17
NIFRA,549,526,547,4418,"8,638,425,161.00",16.00,3.01,2021-05-16
NIFRA,537,525,531,2459,"8,638,425,161.00",-3.00,-0.56,2021-05-13
NIFRA,545,511,534,1854,"8,638,425,161.00",-3.00,-0.56,2021-05-12
NIFRA,543,530,537,2459,"8,638,425,161.00",3.00,0.56,2021-05-11
NIFRA,540,525,534,2686,"8,638,425,161.00",6.00,1.14,2021-05-10
NIFRA,535,520,528,3759,"8,638,425,161.00",-4.00,-0.75,2021-05-09
NIFRA,540,531,532,2867,"8,638,425,161.00",-8.00,-1.48,2021-05-06
NIFRA,544,539,540,2478,"8,638,425,161.00",-4.00,-0.74,2021-05-05
NIFRA,560,541,544,2524,"8,638,425,161.00",0.00,0.00,2021-05-04
NIFRA,554,542,544,3643,"8,638,425,161.00",2.00,0.37,2021-05-03
NIFRA,545,535,542,4014,"8,638,425,161.00",0.00,0.00,2021-05-02
NIFRA,549,534,542,2684,"8,638,425,161.00",-3.00,-0.55,2021-04-29
NIFRA,555,532,545,2675,"8,638,425,161.00",-2.00,-0.37,2021-04-28
NIFRA,548,517,547,4259,"8,638,425,161.00",21.00,3.99,2021-04-27
NIFRA,541,520,526,5784,"8,638,425,161.00",-15.00,-2.77,2021-04-26
NIFRA,570,537,541,6791,"8,638,425,161.00",-21.00,-3.74,2021-04-25
NIFRA,572,561,562,4934,"8,638,425,161.00",-10.00,-1.75,2021-04-22
NIFRA,581,560,572,4106,"8,638,425,161.00",-6.00,-1.04,2021-04-21
NIFRA,584,575,578,4422,"8,638,425,161.00",-3.00,-0.52,2021-04-20
NIFRA,588,579,581,4409,"8,638,425,161.00",-4.00,-0.68,2021-04-19
NIFRA,623,581,585,5574,"8,638,425,161.00",-9.00,-1.52,2021-04-18
NIFRA,604,580,594,8603,"8,638,425,161.00",9.00,1.54,2021-04-15
NIFRA,589,580,585,4436,"8,638,425,161.00",1.00,0.17,2021-04-13
NIFRA,590,580,584,5223,"8,638,425,161.00",-5.00,-0.85,2021-04-12
NIFRA,621,588,589,4303,"8,638,425,161.00",-3.00,-0.51,2021-04-08
NIFRA,612,591,592,4812,"8,638,425,161.00",-14.00,-2.31,2021-04-07
NIFRA,606,572,606,7433,"8,638,425,161.00",30.00,5.21,2021-04-06
NIFRA,588,574,576,5633,"8,638,425,161.00",-5.00,-0.86,2021-04-05
NIFRA,600,577,581,7841,"8,638,425,161.00",-14.00,-2.35,2021-04-04
